id,conversation_id,tweet,username,user_id,date,time,likes_count,replies_count,retweets_count,hashtags,mentions,retweet,quote_url,user_rt_id,source,retweet_date
1322951033316921352,1322951033316921352,¿Y usted?  https://t.co/BGSBExtHtk,eternacadencia,34765906,2020-11-01,14:18:00,30,4,5,[],[],False,,,,
1322924861090598913,1322924861090598913,"""Me han dicho que mis obras traducidas al español no han quedado muy bien, pero no sé, no hablo español"".  https://t.co/QA90EQmDPI",eternacadencia,34765906,2020-11-01,12:34:00,29,3,2,[],[],False,,,,
1322894721149186048,1322894721149186048,Leila Guerriero presenta su nuevo libro. La entrevista @LalaKarenina #agendalit,eternacadencia,34765906,2020-11-01,10:34:14,24,0,3,['agendalit'],"[{'screen_name': 'lalakarenina', 'name': 'lala toutonian', 'id': '192401798'}]",False,https://twitter.com/estacion_libro/status/1322612925375328260,,,
1322874781285392384,1322874781285392384,"Las dependencias, un perfil de la escritora Silvina Ocampo realizado en 1999  https://t.co/MbYxQFCFP4",eternacadencia,34765906,2020-11-01,09:15:00,80,2,15,[],[],False,,,,
1322697362444185600,1322697362444185600,"""La cantidad de cuentos que logró publicar parece interminable y por ellos desfilan, literalmente, miles de personajes"": tomado de Cuentos selectos (@EdhasaArgentina), aquí el texto introductorio de su traductor, @andreshax.   https://t.co/EyWwg8HYIA",eternacadencia,34765906,2020-10-31,21:30:00,6,0,0,[],"[{'screen_name': 'edhasaargentina', 'name': 'edhasa ar', 'id': '468617759'}, {'screen_name': 'andreshax', 'name': 'andrés hax', 'id': '234827436'}]",False,,,,
1322664897956569088,1322664897956569088,Asesinada por su ex marido dejó una obra extraordinaria: fue admirada por Alfonsina Storni y Rubén Dario  https://t.co/XtJKDS8vHH,eternacadencia,34765906,2020-10-31,19:21:00,88,2,29,[],[],False,,,,
1322646778458509312,1322646778458509312,"""Yo soy una poeta que se mete, un poco intrusa, en otras áreas"" #MariaNegroni   https://t.co/h2dQiDoHXN",eternacadencia,34765906,2020-10-31,18:09:00,53,0,9,['marianegroni'],[],False,,,,
1322600725159976960,1322600725159976960,"""Nadie debiera sentirse obligado a terminar un libro que no le gusta"" @FlaviaPitella  https://t.co/4U1jnn5hKf",eternacadencia,34765906,2020-10-31,15:06:00,28,1,6,[],"[{'screen_name': 'flaviapitella', 'name': 'flavia pitella', 'id': '376612164'}]",False,,,,
1322571029462437890,1322571029462437890,"""Poco a poco se iría transformando en una novela mía, y no sé si podría seguir tratándose de una traducción"" César Aira  https://t.co/LKMmOrkWU1",eternacadencia,34765906,2020-10-31,13:08:00,9,0,2,[],[],False,,,,
1322560711365570561,1322560711365570561,"""Cuando yo era chico, una vez me regalaron una estación de bomberos de juguete, algo que no me interesaba particularmente, pero encontré que, si usaba mi imaginación, yo era capaz de convertirla en un castillo."" #AnthonyBrowne   https://t.co/TCgjwGC2YO",eternacadencia,34765906,2020-10-31,12:27:00,20,0,4,['anthonybrowne'],[],False,,,,
1322518432785616904,1322518432785616904,"Joyce Carol Oates: ""La soledad da origen a la literatura y otras veces puede ser un impedimento""  https://t.co/mGXE0FMBy3",eternacadencia,34765906,2020-10-31,09:39:00,22,0,3,[],[],False,,,,
1322379492766212096,1322379492766212096,"""El fin del concepto de publicación, tal como lo entendíamos hasta ahora"", por @GSchavelzon:  https://t.co/6WhSwYsINV",eternacadencia,34765906,2020-10-31,00:26:54,13,0,6,[],"[{'screen_name': 'gschavelzon', 'name': 'schavelzongraham ag', 'id': '114766061'}]",False,,,,
1322346298477932544,1322346298477932544,"""Mi mente es un suave espejo del mundo"".  Dos poemas inéditos de Mircea #Cărtărescu en versiones de  @LalaKarenina.  https://t.co/CFWr1AlFXW",eternacadencia,34765906,2020-10-30,22:15:00,20,0,4,['cărtărescu'],"[{'screen_name': 'lalakarenina', 'name': 'lala toutonian', 'id': '192401798'}]",False,,,,
1322314337994887169,1322314337994887169,"""ya he visto cómo se pudre la carne se parece al color de algunas flores""  Tres #poemas de Lila Biscia (@Liluxb), tomados de La casa del tornado (@bajolaluna_).  https://t.co/vrmzAeyKnB",eternacadencia,34765906,2020-10-30,20:08:00,26,1,10,['poemas'],"[{'screen_name': 'liluxb', 'name': 'lila biscia 🏠🌪', 'id': '2190556763'}, {'screen_name': 'bajolaluna_', 'name': 'bajo la luna', 'id': '529497428'}]",False,,,,
1322299993462435842,1322299993462435842,"Virginia Woolf se negó a editar el Ulises: no quiso publicarla en el sello que mantenía con su marido, Hogarth Press. Las tiradas allí eran de 300 ejemplares.  https://t.co/Uit7GHAVkb",eternacadencia,34765906,2020-10-30,19:11:00,55,0,22,[],[],False,,,,
1322292460127739905,1322292460127739905,¡Se viene la segunda! #leechild,eternacadencia,34765906,2020-10-30,18:41:04,2,0,0,['leechild'],[],False,https://twitter.com/blattyrios/status/1322197737937448961,,,
1322291880948846592,1322291880948846592,"La verdad increíble, de Tove Jansson, novedad de @CiaNavieraIltda recién llegada. #novedades  https://t.co/rnsdmV0RcM",eternacadencia,34765906,2020-10-30,18:38:46,15,0,0,['novedades'],"[{'screen_name': 'cianavierailtda', 'name': 'cía. naviera iltda.', 'id': '895822605197991937'}]",False,,,,
1322273317710000129,1322273317710000129,#LIJ y tabú: ¿Desde cuándo la muerte es tabú en los libros para chicos? Sandra Comino deja una guía generosa de lectura alrededor de este tema.   https://t.co/ngUKxHuddk,eternacadencia,34765906,2020-10-30,17:25:00,6,0,1,['lij'],[],False,,,,
