id,conversation_id,tweet,username,user_id,date,time,likes_count,replies_count,retweets_count,hashtags,mentions,retweet,quote_url,user_rt_id,source,retweet_date
1300462564648812544,1300462564648812544,"Hola @alferdez, no queremos ser una megafactoría de cerdos para China ni una fábrica de nuevas pandemias. #NoAlAcuerdoConChina  #BastaDeFalsasSoluciones #ExigimosConsultaPopular #insostenible  https://t.co/Jp0aqgpsZM",falenalibros,758012042401964032,2020-08-31,12:56:51,0,0,0,"['noalacuerdoconchina', 'bastadefalsassoluciones', 'exigimosconsultapopular', 'insostenible']","[{'screen_name': 'alferdez', 'name': 'alberto fernández', 'id': '149991703'}]",False,,,,
1285571658867265537,1285557603070881793,@AliciaCastroAR Hermosura !! ✨,falenalibros,758012042401964032,2020-07-21,10:45:42,0,0,0,[],[],False,,,,
1255475315972943873,1255473136490995715,@AliciaCastroAR Gracias Alicia hermosa ! Los libros son esenciales ! ♥️,falenalibros,758012042401964032,2020-04-29,09:33:35,1,0,0,[],[],False,,,,
1253678514760568833,1253678514760568833,Gracias @AliciaCastroAR ♥️,falenalibros,758012042401964032,2020-04-24,10:33:44,9,0,5,[],"[{'screen_name': 'aliciacastroar', 'name': 'alicia castro', 'id': '713028058207358976'}]",False,https://twitter.com/AliciaCastroAR/status/1253513443614904322,,,
1253677868271513602,1252405138385334272,"@paolandia77 Si ! Llevamos gratis a Floresta y Devoto. En la tienda  https://t.co/szyUeIS9iW tenemos algo, pero si nos escribis a info@falena.com.ar te pasamos catalogos en pdf sobre autores/editoriales o temáticas.",falenalibros,758012042401964032,2020-04-24,10:31:10,1,1,0,[],[],False,,,,
1253117091093323781,1253114070447927302,@AliciaCastroAR Gracias querida Alicia ! ♥️,falenalibros,758012042401964032,2020-04-22,21:22:50,3,0,2,[],[],False,,,,
1252405221700984832,1252405221700984832, https://t.co/8BHY3PUBN7,falenalibros,758012042401964032,2020-04-20,22:14:08,7,0,4,[],[],False,,,,
1252405138385334272,1252405138385334272, https://t.co/bZ1DPeEgPt,falenalibros,758012042401964032,2020-04-20,22:13:48,7,1,3,[],[],False,,,,
1252405054918676480,1252405054918676480, https://t.co/sbXFcQZKv5,falenalibros,758012042401964032,2020-04-20,22:13:28,4,0,1,[],[],False,,,,
1250859650616082432,1250859650616082432, https://t.co/n7CPrEtdZE,falenalibros,758012042401964032,2020-04-16,15:52:35,2,0,1,[],[],False,,,,
1241120991637639170,1241120985690116098,"Y sí son exceptuados los medios de comunicación cuyos contenidos nadie regula, generando en muchos casos desinformación,  miedo, alertas injustificadas, caos espiritual. ¿Qué dice esto acerca de nuestra sociedad?",falenalibros,758012042401964032,2020-03-20,18:54:37,1,1,1,[],[],False,,,,
1241120990089940992,1241120985690116098,"¿Por qué en Argentina no son exceptuadas del cumplimiento de aislamiento las librerías, que ofrecen una vía de bienestar mental y emocional tan importante en estos días como el bienestar físico, o el del hogar (provisto por las ferreterías)?",falenalibros,758012042401964032,2020-03-20,18:54:37,3,1,3,[],[],False,,,,
1241120988458299392,1241120985690116098,"En Bélgica y en algunos estados de Alemania, las librerías están dentro de los negocios que ofrecen un servicio considerado esencial (como los mercados de alimentación y las farmacias) y por lo tanto no cierran sus puertas durante la actual cuarentena. ..",falenalibros,758012042401964032,2020-03-20,18:54:37,4,2,2,[],[],False,,,,
1241120985690116098,1241120985690116098, https://t.co/aCpWx5A91x,falenalibros,758012042401964032,2020-03-20,18:54:36,0,2,0,[],[],False,,,,
